idx,word,occurrences
509,due,29
510,roll,29
511,vega,29
512,tim,29
513,safe,29
514,dinner,29
515,everton,29
516,food,29
517,preview,29
518,romo,29
519,q,29
520,dalla,29
521,flight,29
522,paul,29
523,raven,29
524,raider,29
525,spot,28
526,welcom,28
527,tune,28
528,christma,28
529,stage,28
530,sport,28
531,alabama,28
532,newcastl,28
533,glad,28
534,howard,28
535,pic,28
536,seem,28
537,servic,28
538,bed,28
539,andi,28
540,power,28
541,road,28
542,annual,28
543,behind,28
544,case,28
545,price,28
546,word,28
547,stori,28
548,radio,28
549,detroit,28
550,street,28
551,enough,28
552,youll,28
553,yr,28
554,media,28
555,sorri,27
556,singapor,27
557,goe,27
558,link,27
559,took,27
560,elvi,27
561,reason,27
562,aint,27
563,surpris,27
564,dog,27
565,juli,27
566,prepar,27
567,told,27
568,r,27
569,remind,27
570,cover,27
571,confirm,27
572,dc,27
573,field,27
574,possibl,27
575,along,27
576,hill,27
577,social,27
578,spur,27
579,univers,27
580,eagl,27
581,murder,27
582,mexico,27
583,googl,26
584,ya,26
585,complet,26
586,shop,26
587,spend,26
588,fact,26
589,everyth,26
590,bank,26
591,rd,26
592,manag,26
593,joe,26
594,favorit,26
595,ps,26
596,south,26
597,later,26
598,wild,26
599,planet,26
600,wisconsin,25
601,histori,25
602,laugh,25
603,direct,25
604,consid,25
605,confer,25
606,cast,25
607,tampa,25
608,russia,25
609,gaga,25
610,issu,25
611,itali,25
612,allstar,25
613,golden,24
614,bc,24
615,continu,24
616,titl,24
617,devil,24
618,toni,24
619,fox,24
620,noth,24
621,mr,24
622,brown,24
623,onc,24
624,morgan,24
625,offic,24
626,rose,24
627,women,24
628,ben,24
629,save,24
630,becom,24
631,dude,24
632,attend,24
633,mind,24
634,thur,24
635,independ,24
636,total,24
637,g,24
638,sanchez,24
639,offer,24
640,nc,24
641,tue,24
642,ceo,24
643,avril,24
644,american,24
645,ash,24
646,brooklyn,24
647,kyle,23
648,wit,23
649,patriot,23
650,fall,23
651,bday,23
652,bet,23
653,da,23
654,chelsea,23
655,atam,23
656,sad,23
657,eye,23
658,septemb,23
659,kevin,23
660,hart,23
661,aug,23
662,hang,23
663,em,23
664,without,23
665,storm,23
666,congrat,23
667,answer,23
668,east,23
669,playoff,23
670,jazz,23
671,travel,23
672,assist,23
673,india,23
674,etc,23
675,window,23
676,queen,23
677,island,23
678,daili,23
679,omg,23
680,cross,23
681,bar,23
682,store,23
683,ice,23
684,pakistan,23
685,nyc,23
686,studio,23
687,dexter,23
688,lunch,22
689,pari,22
690,loui,22
691,houston,22
692,daniel,22
693,probabl,22
694,men,22
695,romney,22
696,gave,22
697,network,22
698,stadium,22
699,anderson,22
700,huge,22
701,sit,22
702,centr,22
703,els,22
704,bell,22
705,whole,22
706,three,22
707,kentucki,22
708,drink,22
709,bless,22
710,victori,22
711,togeth,22
712,definit,22
713,ur,22
714,cri,22
715,chief,22
716,form,22
717,student,22
718,abl,22
719,eat,22
720,crash,22
721,jim,22
722,detail,22
723,sandi,22
724,expect,22
725,cloud,22
726,april,22
727,question,22
728,speak,22
729,port,22
730,trailer,22
731,cake,22
732,cricket,22
733,england,21
734,globe,21
735,bull,21
736,grey,21
737,sky,21
738,fair,21
739,smith,21
740,career,21
741,onlin,21
742,ricki,21
743,snow,21
744,min,21
745,winter,21
746,tix,21
747,ian,21
748,realiz,21
749,email,21
750,block,21
751,dress,21
752,box,21
753,camp,21
754,ago,21
755,milan,21
756,former,21
757,holiday,21
758,debat,21
759,mass,21
760,almost,21
761,style,21
762,wrong,21
763,worri,21
764,ship,21
765,beach,21
766,board,21
767,delay,21
768,war,21
769,dad,21
770,artist,21
771,direction,21
772,cook,21
773,capello,21
774,treat,21
775,nebraska,21
776,order,21
777,jeff,21
778,vita,21
779,rich,21
780,heart,20
781,gold,20
782,differ,20
783,cours,20
784,moment,20
785,mad,20
786,money,20
787,english,20
788,loss,20
789,cheer,20
790,front,20
791,biggest,20
792,lose,20
793,step,20
794,funni,20
795,debut,20
796,page,20
797,june,20
798,channel,20
799,car,20
800,van,20
801,challeng,20
802,dead,20
803,pack,20
804,pop,20
805,mon,20
806,inth,20
807,polic,20
808,session,20
809,everybodi,20
810,app,20
811,sept,20
812,fashion,20
813,republican,20
814,bridg,20
815,rudd,20
816,madrid,20
817,phone,19
818,davi,19
819,million,19
820,entertain,19
821,stand,19
822,sec,19
823,row,19
824,poll,19
825,singl,19
826,speech,19
827,commun,19
828,design,19
829,ath,19
830,age,19
831,anim,19
832,greatest,19
833,bolton,19
834,touch,19
835,river,19
836,human,19
837,select,19
838,trial,19
839,princ,19
840,chicago,19
841,bieber,19
842,talent,19
843,view,19
844,dec,19
845,leg,19
846,group,19
847,plu,19
848,de,19
849,remain,19
850,e,19
851,australia,19
852,constitut,19
853,decid,19
854,court,19
855,woman,19
856,main,19
857,least,19
858,jeremi,19
859,guid,19
860,rider,19
861,ipad,19
862,bjp,19
863,area,18
864,saint,18
865,chri,18
866,el,18
867,senior,18
868,coupl,18
869,parker,18
870,moon,18
871,land,18
872,either,18
873,youv,18
874,lo,18
875,angel,18
876,taken,18
877,eli,18
878,proud,18
879,straight,18
880,action,18
881,born,18
882,histh,18
883,fill,18
884,number,18
885,past,18
886,receiv,18
887,xx,18
888,includ,18
889,rain,18
890,defens,18
891,iii,18
892,workshop,18
893,ad,18
894,ima,18
895,edit,18
896,royal,18
897,fire,18
898,soul,18
899,juic,18
900,chines,18
901,silva,18
902,project,18
903,idea,18
904,memori,18
905,nigeria,18
906,brit,18
907,ex,18
908,oscar,18
909,yanke,18
910,nicki,18
911,amanda,18
912,droid,18
913,bionic,18
914,pay,17
915,nufc,17
916,offens,17
917,near,17
918,twitter,17
919,jordan,17
920,myst,17
921,hotel,17
922,instead,17
923,wood,17
924,bama,17
925,okay,17
926,sunderland,17
927,featur,17
928,lsu,17
929,sam,17
930,guest,17
931,shoot,17
932,sent,17
933,myth,17
934,sourc,17
935,ground,17
936,philli,17
937,villa,17
938,crazi,17
939,noon,17
940,trend,17
941,count,17
942,theyr,17
943,agre,17
944,crowd,17
945,christian,17
946,democrat,17
947,yea,17
948,info,17
949,posit,17
950,lmao,17
951,alien,17
952,outsid,17
953,drew,17
954,market,17
955,door,17
956,ham,17
957,short,17
958,tryna,17
959,pull,17
960,cuz,17
961,gop,17
962,idk,17
963,download,17
964,champion,17
965,track,17
966,olymp,17
967,mall,17
968,hello,17
969,blog,17
970,hockey,17
971,met,17
972,candi,17
973,kendrick,17
974,billi,17
975,map,17
976,cut,17
977,jennif,17
978,charl,17
979,adam,17
980,harvey,17
981,quit,17
982,ireland,17
983,review,17
984,build,17
985,playstat,17
986,winan,17
987,machin,17
988,murphi,17
989,joseph,17
990,children,17
991,augustth,17
992,four,17
993,japan,17
994,kitchen,17
995,lloyd,17
996,knox,17
997,pump,16
998,reuter,16
999,nfc,16
1000,current,16
1001,predict,16
1002,ufc,16
1003,celtic,16
1004,given,16
1005,invit,16
1006,stoke,16
1007,santorum,16
1008,basketbal,16
1009,insid,16
1010,qtr,16
1011,mention,16
1012,sweet,16
1013,georgia,16
1014,zombi,16
1015,write,16
1016,vampir,16
1017,diari,16
1018,parad,16
1019,raw,16
1020,teen,16
1021,charg,16
1022,five,16
1023,deserv,16
1024,trade,16
1025,fit,16
1026,alex,16
1027,forc,16
1028,netflix,16
1029,success,16
1030,cold,16
1031,rate,16
1032,hahaha,16
1033,earlier,16
1034,pray,16
1035,gt,16
1036,origin,16
1037,swap,16
1038,rush,16
1039,death,16
1040,merlin,16
1041,clemson,16
1042,held,16
1043,mix,16
1044,screen,16
1045,yo,16
1046,brilliant,16
1047,israel,16
1048,di,16
1049,austin,16
1050,spirit,16
1051,denzel,16
1052,cohen,16
1053,ralli,16
1054,duke,16
1055,innd,16
1056,max,16
1057,silent,16
1058,johnson,16
1059,pj,16
1060,seat,16
1061,squad,16
1062,vitali,16
1063,cathol,16
1064,ace,16
1065,panda,16
1066,carl,16
1067,scotland,16
1068,dwt,16
1069,deu,16
1070,boehner,16
1071,colt,16
1072,lil,15
1073,extra,15
1074,brazil,15
1075,gari,15
1076,octth,15
1077,anatomi,15
1078,l,15
1079,pa,15
1080,weather,15
1081,absolut,15
1082,pain,15
1083,madonna,15
1084,stat,15
1085,suck,15
1086,magic,15
1087,recal,15
1088,floor,15
1089,bu,15
1090,alon,15
1091,bodi,15
1092,fast,15
1093,campaign,15
1094,protest,15
1095,shine,15
1096,bob,15
1097,liverpool,15
1098,tire,15
1099,ride,15
1100,ryan,15
1101,valley,15
1102,pro,15
1103,serious,15
1104,result,15
1105,weird,15
1106,respect,15
1107,latest,15
1108,odd,15
1109,glass,15
1110,ny,15
1111,skate,15
1112,breakfast,15
1113,send,15
1114,blood,15
1115,chocol,15
1116,moham,15
1117,morsi,15
1118,cundiff,15
1119,leader,15
1120,galaxi,15
1121,tonit,15
1122,il,15
1123,nokia,15
1124,preseason,15
1125,roger,15
1126,fm,15
1127,captain,15
1128,broadcast,15
1129,xd,15
1130,justic,15
1131,eng,15
1132,pancak,15
1133,sarah,15
1134,rodeo,15
1135,mick,15
1136,net,15
1137,santo,15
1138,mccarthi,15
1139,bang,15
1140,tottenham,15
1141,zimmerman,15
1142,curti,15
1143,robertson,15
1144,presley,15
1145,pavol,15
1146,mta,15
1147,inbetween,15
1148,inspir,14
1149,wouldnt,14
1150,philippin,14
1151,bachelor,14
1152,clear,14
1153,activ,14
1154,costum,14
1155,anyway,14
1156,china,14
1157,alright,14
1158,accord,14
1159,sb,14
1160,site,14
1161,fantast,14
1162,auburn,14
1163,orang,14
1164,ko,14
1165,rob,14
1166,share,14
1167,weve,14
1168,matt,14
1169,arent,14
1170,fourth,14
1171,jungl,14
1172,ross,14
1173,plant,14
1174,dj,14
1175,mitch,14
1176,cb,14
1177,notic,14
1178,bro,14
1179,studi,14
1180,text,14
1181,draft,14
1182,attempt,14
1183,congress,14
1184,tournament,14
1185,deadlin,14
1186,six,14
1187,couldnt,14
1188,battl,14
1189,piec,14
1190,futur,14
1191,problem,14
1192,joke,14
1193,harden,14
1194,strong,14
1195,compani,14
1196,journey,14
1197,februaryth,14
1198,base,14
1199,wwe,14
1200,worst,14
1201,tough,14
1202,frompm,14
1203,voic,14
1204,aaron,14
1205,co,14
1206,imma,14
1207,poster,14
1208,mar,14
1209,venu,14
1210,noel,14
1211,apolog,14
1212,bird,14
1213,africa,14
1214,gagner,14
1215,plane,14
1216,bomb,14
1217,pitch,14
1218,evan,14
1219,revolut,14
1220,upcom,14
1221,buzz,14
1222,ss,14
1223,riot,14
1224,margarita,14
1225,squar,14
1226,across,14
1227,valor,14
1228,gun,14
1229,greensboro,14
1230,vernau,14
1231,lorax,14
1232,sprint,14
1233,minaj,14
1234,kung,14
1235,fu,14
1236,okami,14
1237,summerslam,14
1238,demitra,14
1239,ape,14
1240,nuit,14
1241,blanch,14
1242,melissa,14
1243,sight,14
1244,triangl,14
1245,mnf,14
1246,verland,14
1247,wasnt,13
1248,soccer,13
1249,hair,13
1250,tribut,13
1251,counti,13
1252,fuel,13
1253,discuss,13
1254,everyday,13
1255,somebodi,13
1256,charli,13
1257,father,13
1258,lucki,13
1259,wors,13
1260,reveal,13
1261,jone,13
1262,relat,13
1263,except,13
1264,kind,13
1265,atl,13
1266,regular,13
1267,understand,13
1268,highlight,13
1269,jean,13
1270,anarchi,13
1271,suppos,13
1272,~,13
1273,entir,13
1274,qb,13
1275,knew,13
1276,microsoft,13
1277,fa,13
1278,effect,13
1279,msg,13
1280,aston,13
1281,bought,13
1282,afc,13
1283,sell,13
1284,press,13
1285,fail,13
1286,decis,13
1287,gig,13
1288,bitch,13
1289,jack,13
1290,contact,13
1291,volleybal,13
1292,homecom,13
1293,jump,13
1294,third,13
1295,factor,13
1296,rodger,13
1297,superbowl,13
1298,nadal,13
1299,egypt,13
1300,vow,13
1301,goin,13
1302,elli,13
1303,dicken,13
1304,rocki,13
1305,paterno,13
1306,peac,13
1307,lin,13
1308,tennesse,13
1309,cat,13
1310,grace,13
1311,fish,13
1312,rooney,13
1313,bayern,13
1314,paper,13
1315,worldwid,13
1316,destin,13
1317,jayalalithaa,13
1318,dahlia,13
1319,klitschko,13
1320,gandhi,13
1321,plaza,13
1322,barcelona,13
1323,roast,13
1324,robbi,13
1325,sm,13
1326,tonga,13
1327,aladdin,13
1328,painter,13
1329,buccan,13
1330,tina,12
1331,fey,12
1332,extend,12
1333,contest,12
1334,iron,12
1335,trent,12
1336,facebook,12
1337,thru,12
1338,sometim,12
1339,luther,12
1340,lie,12
1341,onrd,12
1342,judg,12
1343,law,12
1344,file,12
1345,cost,12
1346,anybodi,12
1347,hawk,12
1348,richardson,12
1349,bear,12
1350,honey,12
1351,shout,12
1352,huntsman,12
1353,pacer,12
1354,smile,12
1355,holi,12
1356,polit,12
1357,california,12
1358,lfc,12
1359,burn,12
1360,drake,12
1361,mike,12
1362,kinda,12
1363,ray,12
1364,load,12
1365,jesu,12
1366,wife,12
1367,norwich,12
1368,shirt,12
1369,normal,12
1370,tabl,12
1371,parent,12
1372,contract,12
1373,note,12
1374,fanci,12
1375,fornd,12
1376,castl,12
1377,somewher,12
1378,jam,12
1379,union,12
1380,crow,12
1381,vh,12
1382,carpet,12
1383,space,12
1384,sick,12
1385,tie,12
1386,rooki,12
1387,tent,12
1388,push,12
1389,lee,12
1390,theater,12
1391,regist,12
1392,kati,12
1393,worth,12
1394,hollywood,12
1395,cont,12
1396,thin,12
1397,hurrican,12
1398,scott,12
1399,smh,12
1400,ct,12
1401,gener,12
1402,rumour,12
1403,replac,12
1404,andr,12
1405,warn,12
1406,fabio,12
1407,loung,12
1408,asia,12
1409,kiss,12
1410,hero,12
1411,germani,12
1412,yay,12
1413,gambl,12
1414,britney,12
1415,singer,12
1416,caught,12
1417,defend,12
1418,clip,12
1419,expo,12
1420,gear,12
1421,hank,12
1422,appar,12
1423,cole,12
1424,denver,12
1425,toward,12
1426,summer,12
1427,australian,12
1428,canada,12
1429,sep,12
1430,lamb,12
1431,keith,12
1432,educ,12
1433,usa,12
1434,enter,12
1435,infinit,12
1436,gonzaga,12
1437,iren,12
1438,bois,12
1439,ah,11
1440,poehler,11
1441,pr,11
1442,manchest,11
1443,brought,11
1444,pat,11
1445,vancouv,11
1446,wake,11
1447,local,11
1448,tucson,11
1449,mitt,11
1450,claim,11
1451,hr,11
1452,chicken,11
1453,theme,11
1454,actor,11
1455,sopa,11
1456,repli,11
1457,mine,11
1458,clash,11
1459,pair,11
1460,math,11
1461,badger,11
1462,improv,11
1463,option,11
1464,congratul,11
1465,swansea,11
1466,al,11
1467,happiest,11
1468,earth,11
1469,tebow,11
1470,promis,11
1471,small,11
1472,utd,11
1473,folk,11
1474,clean,11
1475,mufc,11
1476,scout,11
1477,exclus,11
1478,agent,11
1479,hop,11
1480,emmi,11
1481,awar,11
1482,boston,11
1483,tree,11
1484,nj,11
1485,skype,11
1486,semifin,11
1487,itll,11
1488,frank,11
1489,mlk,11
1490,bore,11
1491,f,11
1492,websit,11
1493,pt,11
1494,rumor,11
1495,cream,11
1496,del,11
1497,rank,11
1498,buck,11
1499,h,11
1500,deep,11
1501,honor,11
1502,rumbl,11
1503,greek,11
1504,mysteri,11
1505,beer,11
1506,competit,11
1507,brian,11
1508,aj,11
1509,forgot,11
1510,usual,11
1511,pool,11
1512,credit,11
1513,euro,11
1514,wine,11
1515,arena,11
1516,compar,11
1517,mari,11
1518,midnight,11
1519,acta,11
1520,j,11
1521,android,11
1522,arm,11
1523,exhibit,11
1524,jimmi,11
1525,lmfao,11
1526,bale,11
1527,amo,11
1528,happyth,11
1529,upset,11
1530,topic,11
1531,abu,11
1532,dhabi,11
1533,xi,11
1534,blake,11
1535,beyonc,11
1536,boom,11
1537,ac,11
1538,pl,11
1539,armi,11
1540,lorenzo,11
1541,pi,11
1542,danni,11
1543,rais,11
1544,septemberth,11
1545,mumbai,11
1546,rule,11
1547,delhi,11
1548,shell,11
1549,jose,11
1550,maya,11
1551,richard,11
1552,walker,11
1553,mardi,11
1554,gra,11
1555,pope,11
1556,carlton,11
1557,watney,11
1558,lane,11
1559,zap,11
1560,_,11
1561,petrolia,11
1562,clearwir,11
1563,sandwich,11
1564,cliff,11
1565,ind,11
1566,sheen,11
1567,iebc,11
1568,mvc,11
1569,mourinho,11
1570,tomb,11
1571,lower,10
1572,fine,10
1573,bye,10
1574,niner,10
1575,liar,10
1576,ep,10
1577,herald,10
1578,afl,10
1579,foul,10
1580,experi,10
1581,si,10
1582,liam,10
1583,defeat,10
1584,dear,10
1585,articl,10
1586,le,10
1587,mile,10
1588,youtub,10
1589,upload,10
1590,program,10
1591,camilla,10
1592,health,10
1593,risk,10
1594,dvd,10
1595,trick,10
1596,hasnt,10
1597,senat,10
1598,explain,10
1599,dm,10
1600,teacher,10
1601,mynd,10
1602,major,10
1603,gov,10
1604,nhl,10
1605,wr,10
1606,middl,10
1607,figur,10
1608,femal,10
1609,spent,10
1610,wayn,10
1611,hd,10
1612,stupid,10
1613,nite,10
1614,chat,10
1615,toronto,10
1616,peyton,10
1617,td,10
1618,goodnight,10
1619,desper,10
1620,repeat,10
1621,bout,10
1622,az,10
1623,struggl,10
1624,fear,10
1625,obvious,10
1626,water,10
1627,tip,10
1628,mizzou,10
1629,cherri,10
1630,garden,10
1631,aka,10
1632,elimin,10
1633,mate,10
1634,recommend,10
1635,est,10
1636,allow,10
1637,natur,10
1638,prayer,10
1639,led,10
1640,district,10
1641,cute,10
1642,neighborhood,10
1643,eastern,10
1644,comput,10
1645,hilari,10
1646,poland,10
1647,owner,10
1648,bench,10
1649,nikon,10
1650,volar,10
1651,raleigh,10
1652,juneth,10
1653,redskin,10
1654,sneak,10
1655,davo,10
1656,mobil,10
1657,monta,10
1658,legend,10
1659,draw,10
1660,forest,10
1661,northern,10
1662,axl,10
1663,pink,10
1664,taiwan,10
1665,shall,10
1666,hog,10
1667,fl,10
1668,european,10
1669,scene,10
1670,cruz,10
1671,ten,10
1672,french,10
1673,product,10
1674,ppl,10
1675,lauren,10
1676,golf,10
1677,nugget,10
1678,brook,10
1679,soni,10
1680,bel,10
1681,aniston,10
1682,astrolog,10
1683,nest,10
1684,hay,10
1685,postal,10
1686,rudolph,10
1687,nz,10
1688,ramlila,10
1689,jacki,10
1690,filthi,10
1691,reggi,10
1692,bayer,10
1693,leverkusen,10
1694,finder,10
1695,unoffici,10
1696,leicest,10
1697,ajax,10
1698,deca,10
1699,echo,10
1700,caltrain,10
1701,committe,10
1702,delici,10
1703,varitek,10
1704,sox,10
1705,nightclub,10
1706,malcolm,10
1707,vessel,10
1708,saha,10
1709,slinger,10
1710,divo,10
1711,novam,10
1712,stein,10
1713,footymad,10
1714,metropc,10
1715,coverag,10
1716,tallahasse,10
1717,pont,10
1718,pred,10
1719,bdr,10
1720,wolv,10
1721,doug,10
1722,utc,10
1723,arrivaldepartur,10
1724,strawberri,10
1725,iss,10
1726,indonesian,10
1727,subtitl,10
1728,yushin,10
1729,iv,10
1730,afghan,10
1731,bangladesh,10
1732,haryana,10
1733,iguana,10
1734,laguna,10
1735,sjp,10
1736,dongwoo,10
1737,simciti,10
1738,kinder,10
1739,zayn,9
1740,edg,9
1741,data,9
1742,suarez,9
1743,btw,9
1744,indiana,9
1745,baylor,9
1746,wizard,9
1747,marri,9
1748,contraband,9
1749,hisrd,9
1750,hib,9
1751,yep,9
1752,seriou,9
1753,perri,9
1754,tide,9
1755,donat,9
1756,tail,9
1757,imagin,9
1758,low,9
1759,honestli,9
1760,webb,9
1761,steven,9
1762,cultur,9
1763,mail,9
1764,bike,9
1765,zumba,9
1766,mi,9
1767,breitbart,9
1768,indi,9
1769,respons,9
1770,den,9
1771,gordon,9
1772,mt,9
1773,doubl,9
1774,mob,9
1775,wive,9
1776,yard,9
1777,dirti,9
1778,lamar,9
1779,suit,9
1780,account,9
1781,finger,9
1782,hip,9
1783,decemberth,9
1784,ipod,9
1785,stone,9
1786,jonathan,9
1787,level,9
1788,truck,9
1789,messag,9
1790,hurt,9
1791,creat,9
1792,appreci,9
1793,director,9
1794,coast,9
1795,quot,9
1796,search,9
1797,aliv,9
1798,pittsburgh,9
1799,k,9
1800,striker,9
1801,marathon,9
1802,doubt,9
1803,promo,9
1804,prove,9
1805,hisst,9
1806,truth,9
1807,mc,9
1808,ignor,9
1809,doctor,9
1810,wrap,9
1811,carri,9
1812,disappoint,9
1813,lake,9
1814,demand,9
1815,phil,9
1816,buffalo,9
1817,bright,9
1818,drunk,9
1819,youd,9
1820,staff,9
1821,andth,9
1822,preorder,9
1823,forth,9
1824,sister,9
1825,wk,9
1826,honda,9
1827,tech,9
1828,poor,9
1829,drug,9
1830,mexican,9
1831,amazon,9
1832,bellami,9
1833,peterson,9
1834,camera,9
1835,combin,9
1836,julyth,9
1837,sort,9
